Date,Market,Contract,LastTradePrice
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Andrew Cuomo,0.75
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Zohran Mamdani,0.12
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Brad Lander,0.05
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Eric Adams,0.05
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Zellnor Myrie,0.05
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Scott Stringer,0.02
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Jessica Ramos,0.01
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Letitia James,0.01
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Jumaane Williams,0.01
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Whitney Tilson,0.01
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Adrienne Adams,0.01
2025-02-26,Who will win the Democratic nomination for Mayor of New York?,Michael Blake,0.01
2025-02-26,Which party will win the 2025 gubernatorial election in Virginia?,Democratic,0.82
2025-02-26,Which party will win the 2025 gubernatorial election in Virginia?,Republican,0.18
2025-02-26,Will Congress confirm a Supreme Court justice in 2025?,Will Congress confirm a Supreme Court justice in 2025?,0.35
2025-02-26,Who will win the Spring 2025 Wisconsin Supreme Court election?,Susan Crawford,0.89
2025-02-26,Who will win the Spring 2025 Wisconsin Supreme Court election?,Brad Schimel,0.14
2025-02-26,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,67 or fewer,0.99
2025-02-26,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,68 to 70,0.01
2025-02-26,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,71 to 73,0.01
2025-02-26,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,74 to 76,0.01
2025-02-26,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,77 to 79,0.01
2025-02-26,How many votes to confirm Elise Stefanik as UN Ambassador by April 30?,80 to 82,0.01
